Time: 125, Load cell: -46436.0, Distance: 934, Load: 28.57695652173913
Time: 126, Load cell: -46390.0, Distance: 8190, Load: 18.766956521739132
Time: 127, Load cell: -46384.0, Distance: 943, Load: 17.487391304347828
Time: 128, Load cell: -46338.0, Distance: 961, Load: 7.677391304347826
Time: 129, Load cell: -46452.0, Distance: 924, Load: 31.98913043478261
Time: 130, Load cell: -46430.0, Distance: 938, Load: 27.297391304347826
Time: 131, Load cell: -46372.0, Distance: 923, Load: 14.928260869565218
Time: 132, Load cell: -46422.0, Distance: 8191, Load: 25.59130434782609
Time: 133, Load cell: -46344.0, Distance: 8191, Load: 8.95695652173913
Time: 134, Load cell: -46346.0, Distance: 981, Load: 9.383478260869566
Time: 135, Load cell: -46384.0, Distance: 8191, Load: 17.487391304347828
Time: 136, Load cell: -46294.0, Distance: 8190, Load: -1.7060869565217391
Time: 137, Load cell: -46252.0, Distance: 8190, Load: -10.66304347826087
Time: 138, Load cell: -46270.0, Distance: 8191, Load: -6.824347826086957
Time: 139, Load cell: -46516.0, Distance: 8190, Load: 45.63782608695652
Time: 140, Load cell: -46434.0, Distance: 8190, Load: 28.150434782608695
Time: 141, Load cell: -46444.0, Distance: 8190, Load: 30.28304347826087
Time: 142, Load cell: -46366.0, Distance: 8191, Load: 13.648695652173913
Time: 143, Load cell: -46456.0, Distance: 8190, Load: 32.84217391304348
Time: 144, Load cell: -46370.0, Distance: 8190, Load: 14.501739130434782
Time: 145, Load cell: -46444.0, Distance: 8190, Load: 30.28304347826087
Time: 146, Load cell: -46414.0, Distance: 8190, Load: 23.885217391304348
Time: 147, Load cell: -46364.0, Distance: 8191, Load: 13.222173913043479
Time: 148, Load cell: -46430.0, Distance: 8191, Load: 27.297391304347826
Time: 149, Load cell: -46384.0, Distance: 8190, Load: 17.487391304347828
Time: 150, Load cell: -46410.0, Distance: 8190, Load: 23.03217391304348
Time: 151, Load cell: -46300.0, Distance: 8190, Load: -0.4265217391304348
Time: 152, Load cell: -46370.0, Distance: 8190, Load: 14.501739130434782
Time: 153, Load cell: -46312.0, Distance: 8190, Load: 2.132608695652174
